SLES_001.13;Olympic Soccer (Europe) (En,Fr,De,Es,It);
SLES_033.90;Aqua GT (Europe) (En,Fr,De,Es,It,Nl);
SLES_022.07;Dino Crisis (Europe);
SLUS_000.38;FIFA Soccer 96 (USA) (En,Fr,De,Es,It,Sv);
SLES_024.44;Suikoden II (Germany);
"SLUS_007.08
SLUS_007.08CE
SLUS_007.08GH";Legacy of Kain - Soul Reaver (USA);
SLES_005.27;Suikoden (Europe);
SCES_008.69;Final Fantasy VII (Germany) (Disc 1);
SCES_108.69;Final Fantasy VII (Germany) (Disc 2);
SCES_208.69;Final Fantasy VII (Germany) (Disc 3);
SLES_020.82;Final Fantasy VIII (Germany) (Disc 1);
SLES_120.82;Final Fantasy VIII (Germany) (Disc 2);
SLES_220.82;Final Fantasy VIII (Germany) (Disc 3);
SLES_320.82;Final Fantasy VIII (Germany) (Disc 4);
SLES_029.67;Final Fantasy IX (Germany) (Disc 1);
SLES_129.67;Final Fantasy IX (Germany) (Disc 2);
SLES_229.67;Final Fantasy IX (Germany) (Disc 3);
SLES_329.67;Final Fantasy IX (Germany) (Disc 4);
"SLUS_007.37
SLUS_007.37A
SLUS_007.37D";Knockout Kings (USA);
SLUS_002.67;NBA Live 97 (USA);
SLUS_002.61;PGA Tour 97 (USA);
SLUS_005.17;PGA Tour 98 (USA);
SLUS_002.37;Triple Play 97 (USA);
SLES_036.69;FIFA Football 2002 (Germany) (En,De,Es,Nl,Sv);
